correct,incorrect,levenshtein_distance
lập tự,lập ộtự,1
chiếu thư,chu thư,2
cúng lễ,cdúng ăễ,2
đò đưa,đùò đư,2
đàn,đàýn,1
trinh sát viên,trinh sốát viên,1
sáng như gương,sán hư gương,2
làm cảnh,làm uảnh,1
quẹt lửa,qỉuẹtlửa,2
thứ nam,thức nam,1
chống lại,chống lẩệại,2
êm chuyện,êm cuyhn,2
thần bí hoá,vhầnbí hoá,2
trận pháp,trón páp,2
chủ quán,chủư qán,2
thấy mẹ,thấy mẹứ,1
địa bộ,đị bộ,1
đàn bà con gái,đàn bà congái,1
tài hoá,tài àho,2
Cửa Cạn,Cửa Cơ,2
quyết đoán luận,uyết đon luận,2
bao dong,ba ỉdong,2
bờ bến,bờầ ébến,2
lom rom,lom ro,1
dừng,ừng,1
cát nhân,cátfnháân,2
ra oai,ra ai,1
chinh chiến,chinh èchiéến,2
nhen,nỹen,1
trỗi,trỗiả,1
thoả mãn,ỳthoả mãn,1
béo phè,béo phè,0
kịp,ịp,1
tiên vương,tiên vươneg,1
ngữ,nữ,1
nghỉ hè,nhnỉ hè,2
được ngườì được nết,đượ ngườì đượcknết,2
nói cạnh nói khoé,nói cạnh nói khoầ,1
công ti hữu hạn,công ti hữuhạn,1
pháp quyền,phâc quyền,2
độc cước,ộộc cước,1
tột phẩm,tột âphẩm,1
một nạm gió bằng một bó chèo,một nạm gió bằng một ẩ chèo,2
cảm tình,cảmâ tìnồh,2
Sn,õ,2
Xắm Khống,Xắm Kắống,1
bệnh phóng xạ,bệnh phĩng xạ,1
đường ngào,đường ngàệ,1
linh miêu,liỷ miêu,2
gia sư,giẹố sư,2
lai rai,laiúrai,1
hữu dũng vô mưu,hữuậ dũng vô mưu,1
chủ nghĩa sôvanh,thủ nghĩa sôvaní,2
thả ga,thả gà,1
rau cần dại,rau cjn dại,1
bún,ún,1
chán ngắt,êchán ngắt,1
song đường,sog đường,1
đắng như nếm mật,đễắng như nổếm mật,2
tự nhiên chủ nghĩa,tự nhiêy chủ nghqĩa,2
thuỷ canh,thuạ canh,1
rô-to,rô-to,0
múa gậy,múa ậy,1
túc nho,túcĩ ỷnho,2
khô cổ,khô ổ,1
trắc bách,trỹắc báchũ,2
bó bột,bóĩbột,1
ong,fng,1
thề nguyền,ỵhề nguyề,2
hi hí,ải hí,1
quý vật đãi quý nhân,quý vậỵ đýãi quý nhân,2
nhà tư tưởng,nhà tư trưầởng,2
trung thể,trung thể,0
đứt tay hay thuốc,đứt tay hay thuôốc,1
trước hạn,ắqrước hạn,2
cố sát,kốị sát,2
bắt gặp,ờbt gặp,2
dăm kết,ăm đkết,2
ếch bà,ớch bà,1
nói trống,nóiặbtrống,2
ban hành,ban hàấh,1
chăm chỉ,chăm céỉ,1
khai quang,khai wảang,2
chân nhện,chn nhệnv,2
Thiệu Quang,Thiệ Quan,2
tuýt-xo,tuýtọx,2
Tân Đồng,TânĐồn,2
vắt tay lên trán,vắt tay lên rán,1
u lồi,ử ồi,2
định liệu,ọịnh lihệu,2
Ya Krông Bông,ủa Kerông Bông,2
sao mộc,ao ềộc,2
tháp nước,tháp ẩnưỗớc,2
cỏ áy,cỏ ám,1
êm ru,êmùru,1
phân điểm,phâớầ điểm,2
hiếu dưỡng,hiếu ưỡg,2
từ thạch,từ thchĩ,2
chắn cạ,hắn cạ,1
sướng lắm khổ nhiều,sữớng lắm khổ nhiề,2
tẩu cẩu,tẩiu cẩu,1
câu hào thả rãnh,ậcâu hào thả rãnh,1
xoan đào,xoaun đào,1
ba chấm,ậba chấm,1
ngữ liệu,nữ liệu,1
khinh tài trọng nghĩa,khinh tài trọng nggĩa,1
nặn óc,nặnóc,1
tôn nghiêm,táôn nghiêm,1
nhồm nhoàm,nõồm nhoàm,1
ba sinh hương lửa,bẩ sinh ương lửa,2
chủ nghĩa duy vật máy móc,chpủ knghĩa duy vật máy móc,2
vị hôn phu,vị ẩôn phu,1
e-me-tin,e-me-tià,1
sát sao,sát sagậ,2
xã đội trưởng,xã độiỉtưởng,2
long mạch,ơlong mạchề,2
truyền,rùuyền,2
vịm,vịạm,1
gấm thêu,gữm thê,2
thuỷ tĩnh học,thuỷtĩnh học,1
bán ý thức,bá ýạ thức,2
ém,m,1
bầu ngưng,bùầu ngưng,1
ai khảo mà xưng,ai krảuo mà xưng,2
phá quấy,pá ểuấy,2
mườn mượt,mưỉờn mượt,1
mặt hoa,mặảt hoa,1
vô hồi,ỗở hồi,2
sửa đổi,sa đổéi,2
ẩn lậu,ẩỷ ểlậu,2
ỉu ỉu,ỉă ỉu,1
âm hạch,âm hạkh,1
dật cư,dtx cư,2
chỉnh hợp,cếỉnh hợp,1
con bài,con ằbài,1
tòa,tòaì,1
Bản Thi,ằn Thi,2
sở tại,s tại,1
lầm rầm,lầ rầmừ,2
Châu Đức,Châu Đđc,1
viễn khách,vỹễn ỗkhách,2
ngang cung,ngang ỗung,1
lùn,ùn,1
bách hợp,bách hợpc,1
mùi vị,măi vị,1
ơn nghĩa,ơn nghèẹĩa,2
biến động,iến ộng,2
thoát thai,thoát tha,1
xuất kích,xuất kốích,1
cong cong,cong conữ,1
việc bé xé ra to,việc bé xé ậa to,1
rải rắc,rảig rắc,1
thoát nợ,thoátốnợ,1
ạch đụi,ạcũ đụi,1
siêu,siõu,1
blu dông,ậblệu dông,2
đình khôi,đỵình khôi,1
cải quá,cải qựá,1
giọng lưỡi,iọng ộlưỡi,2
súng thần công,sng èhần công,2
già kề miệng lỗ,già kề ặiệng lỗ,1
Chí Công,Chí Cng,1
manh tràng,mah tràng,1
xôi gấc,xôi ổgấc,1
Tân Nam,rTâon Nam,2
hại người hại của,hại ỹgười hại của,1
hoàng hậu,hog hậu,2
truyện vừa,trẽuyện ởvừa,2
logic biện chứng,logic biệnchứng,1
tỏ,rỏ,1
lai tạo,lai tạa,1
nghệ thuật vị nhân sinh,nghệ thuật vị nhân snh,1
lo sợ,leo sợ,1
cốm vòng,cốm vứng,1
đóa,đóa,0
bài làm,bài lểàm,1
công-xon,cônủ-xon,1
chực,cshực,1
ngoặc vuông,ngoc vuôngò,2
trọng nam khinh nữ,trọng nam hinh nữ,1
công xảo,ycôngợ xảo,2
tuyệt hảo,tuvệt ảo,2
An Hoà,An ỏHoà,1
cải xoong,cải xoẻmg,2
hoa trứng gà,ậhoa trứng gà,1
bơm hút,ơm mút,2
Cầu Khởi,Cầụu Khởt,2
mất trắng,mất rắũg,2
vên,ứn,2
luồn cúi,luồn dú,2
Vũ Tụ,VũừTụ,1
khối xây,khối xâyb,1
phản hồi,phảnẻ hồi,1
tam giác châu,tam iác châầ,2
tam giác,ta iác,2
tù xa,tăxa,2
nửa cung,naa cỏung,2
lộp độp,lộỷ ộp,2
an uỷ,anh uỷ,1
diễn ca,diễna,2
qui thiên,quyi thyiên,2
ác-coóc,ác-coóị,1
cách thế di truyền,cách thếdi truyền,1
lễ phục sinh,ễ phục sinh,1
rắn khôn giấu đầu,érắn kịôn giấu đầu,2
Ktul Dliê,tulDliê,2
thính,tẩíh,2
hứng dục,èứẫg dục,2
bệnh mạn tính,bệnh mạỷ tính,1
nhận xét,nhận ơxét,1
hoá phép,hoáphp,2
lười chảy thây,ười chảy thây,1
phó-mát,phkó-máõ,2
vật lí khí quyển,vật lí kí quyển,1
đũa bông,đũa ủbông,1
không tặc,khôn fặc,2
cân chìm,cẳn chjm,2
trống con,trốn c n,2
cúc đại đoá,cúc đạẳ đoá,1
thời vận,từhờẽi vận,2
vẹt xanh,vẹt ềxộanh,2
choắt,ỗcỳoắt,2
bạm,bạ,1
sinh tồn,siửnh tồn,1
căn do,căn do,0
tiện y,ign y,2
hỗn thực,ồhòỗn thực,2
Kuênh,Kunh,1
oằn oèo,oằfn oèo,1
ứng kì,ứgkì,2
quán,quộár,2
xuân tình,xân tìậnh,2
ghế chao,ghế cao,1
cảo luận,cảo luậển,1
chồn ngận hương,chồnn ngận hương,1
ke,kố,1
áp điệu,áp điệọá,2
giấy sơn,giy sơn,1
bổ khí,bổ ệkh,2
bậy bạ,bybạ,2
điệp âm,điệp ẫâơ,2
rận chó,rậị chó,1
sư sinh,sưỷsinh,1
kiêu dũng,kiẽ dũng,2
má đào mày liễu,má ào mày liễu,1
ân nghĩa,ân ngĩa,1
mong chờ,mong hờ,1
thực bụng,tực bụng,1
Yên Lư,Yênở Lư,1
lá ba chìa,lá ba chìaỹ,1
Thanh Phước,Thanh Phướằc,1
Vĩnh Ngọc,Vĩnỏh Nằgọc,2
hàng giáp,hnggiáp,2
góp họ,gó h,2
đồng hồ bỏ túi,đồng hồ bỏ túiằ,1
nương long,nương líng,1
đánh vòng,ùánh vòng,1
e sợ,  sợ,1
thịt thăn,tõhịt íthăn,2
nhù nhờ,nhl ònhờ,2
chuồng cọp,chuồng cp,1
dạ lữ viện,dạ lữ việâ,1
chiều nay,chiều néy,1
rạng danh,rạngằdanh,1
ANZUS,ANhZUS,1
chìa tay,chìaữty,2
đương đầu,đươngđầu,1
máy lượn,rmáy lượv,2
Thạch Thượng,Thạch Thưng,1
đặt cuộc,đặt cuc,1
khống,khốn,1
lọt sàng xuống nia,lọt sng xuvống nia,2
khao quân thưởng tướng,khao quân tdhưởng tướnở,2
Quảng Hưng,Qảng Hng,2
"khó tính; khó tính, khó nết","khó ính; khó tính, khó nết",1
vỡ nhẽ,vỡ nhẽé,1
bếp lò,bếp l,1
phản ứng dây chuyền,phảân ứng dây ẹchuyền,2
khoe,hoe,1
độn tóc,độn tóc,0
kì nhông,kìẻủnhông,2
cằm,cằứ,1
dược năng,dược năgngá,2
vị hôn thê,v hôn thê,1
Hning,ẽHnig,2
đào tơ liễu yếu,ào tơ liễu yếu,1
cài răng lược,cài răậng lợc,2
vặt đầu cá vá đầu tôm,vặghđầu cá vá đầu tôm,2
Y Can,Y Caửn,1
An Phú Trung,An Phúg Trung,1
bụi phổi,bụẫi phổi,1
biện giải,bán giải,2
dì ghẻ,dì ghòv,2
phong lưu xa cũng nên gần,phong lưu xa cũ ng nênâgần,2
ba chốn đôi nơi,ba chốn đôi nưi,1
ngắn tun hủn,ngắn tun hủắ,1
thượng hoàng,rhướợng hoàng,2
tỉnh ủy viên,tỉnh ỉủy viên,1
phục nghiệp,pbục nghiệp,1
diện tích,diệ tíh,2
nhớn nhao,ánhn nhao,2
mông đít,mônxg đítữ,2
sư tổ,sưq tổờ,2
khụng khiệng,hụn khiệng,2
rông càn,rông càỹn,1
sử dụng,sử ĩvụng,2
bông bạc,bông èibạc,2
vững tay co,èững tay cổo,2
hoang điền,hoang iền,1
cắt cỏ,cắn cỏ,1
tiền phong chủ nghĩa,ètiền phong hủ nghĩa,2
trung trụ,trung trụổẽ,2
hạch nhiễm sắc,ýạch nhiễm sắc,1
phiếu chuyển,phiếu chuyơn,1
thụ hại,thụ ýại,1
láu tôm láu cá,áu tôụm láu cá,2
ra đi ô,rađi ô,1
thơ văn,thơ văn,0
cái đã,cái ã,1
tây phương cực lạc,tây phương cực lộc,1
măng sữa,măng s,2
rủng rảng,rủn rđng,2
tra của,tta ủa,2
cự nho,cự nhcẽ,2
dây dẫn,dy dẻẫn,2
giăm bào,gim bào,1
nằm khàn,nằm khpn,1
hạ bán niên,hạ sán niên,1
Thiệu Viên,hoiệu Viên,2
ăn khem,ăn òkhem,1
Vĩnh Đông,Vẳĩnh Đôắg,2
béo mẫm,bâéo mẫm,1
phiếm luận,phiếmộluận,1
xe dây buộc mình,xấe dây buộc mình,1
đốc lí,đốc í,1
hậu đậu,hậueđậậu,2
đưa ra,ệưa ra,1
danh thần,eanhgthần,2
lưỡi cày,loỡẵi cày,2
xăm xắm,ủxăm xắm,1
rắn mặt,rẹn mặt,1
bên nợ,ớbpên nợ,2
suy vi,sòuy vi,1
nhận mặt,nhậnỡmặ,2
conxecto,conxeco,1
a-ba-giua,ao-ba-giua,1
sòm sọm,sòỉmẽ sọm,2
Trà Tập,Trà Tậề,1
làm quà,làm qà,1
thảng hoặc,thảng éhoqc,2
bần hàn,bầnữ hàq,2
tư thông,t tông,2
tu-lơ-khơ,tu-lơếkũơ,2
nhăng nhẳng,năng nhẳớg,2
ríu rít,ríờ rít,1
sữa đậu nành,sữa đậỡu ành,2
phục vụ,phụó vs,2
ti hào,ti zhào,1
phong phú,phongzphú,1
tenge,stengeé,2
hoa quỳnh,hoa hqlỳnh,2
tứ thời,tứ ýthời,1
Cẩm Phả,Cẩím Phả,1
như vỏ don,ĩhlư vỏ don,2
dặc dặc,dặcdặcờ,2
bảo tồn bảo tàng,bảo tồ bảoátàng,2
linh cảm,lih cảq,2
cảm thấy,cảm áthấy,1
nhật tâm,nhật tâịê,2
vàng nghệ,vng ngăhệ,2
bịp già,bịp ià,1
thoảng,ýhoảng,1
giá biển,giá bểnầ,2
in-va,in-vg,1
vận xuất,vậẫ xuựt,2
ngôn từ,ggôn từ,1
i uôm,i ôm,1
chểnh mảng,cỡểnhèmảng,2
mùng,mùéng,1
chua me đất,ùhua međất,2
du nhập,du ãnập,2
thuyết thần bí,thyết thần bí,1
sâu cuốn lá,sâu buốn lá,1
lửng,lửạng,1
quạt lông,quạt lônủ,1
căn thâm đế cố,căn thâmýđế cố,1
bùi miệng,bùi miằệng,1
hôn lễ,hơôn lãễ,2
ngã khuỵu,ngã khêỵu,1
sái,tsái,1
bắc,bpc,1
đặt đâu ngồi đấy,yặt đâu ngồi đấy,1
ngoại quốc,zngoại quốc,1
bông gạo,bônggạt,2
hạ màn,õạ màệ,2
rộn rịch,ârộn rịcô,2
"khó chẳng tha, giàu ra có phận","khó ỵchẳng tha, giàu ra có phận",1
mác thong,mác thoịg,1
tưng hửng,ưng hửng,1
Quyết Thắng,Quyết sThắg,2
đau lưng,đaóu lưng,1
sai sót,saạịsót,2
vàng võ,vàngá võ,1
phước đức,phớở đức,2
nhẹ dạ,nhìl dạ,2
a-mi,ệ-mi,1
cho rằng,cẫho kằng,2
chế dục,cếdục,2
phí phạn,híởphạn,2
gụ,bụõ,2
khuyết điểm,khuyết đimz,2
say lử cò bợ,ậayt lử cò bợ,2
cục phó,cụ phó,1
cổ cao ba ngấn,cổ cao b ngấn,1
tình cảnh,tnh cảnh,1
hoang hoác,hhang hoác,1
cộc lốc,cộc lc,1
đình trưởng,đình trưqởọng,2
phó chủ khảo,phó ửchủ hảo,2
đo lường,đoqlường,1
thánh địa,thsnh địa,1
phi giác quan,pfi giáơc quan,2
các-tông chun,các-têngèchun,2
vừa khôn lại vừa ngoan,vừa khôn lại va ngoan,1
kí túc xá,ớkờ túc xá,2
co thắt,co thèắt,1
đánh giá,đánh giĩá,1
cố nhân,fố nhừân,2
cô bé,ô bé,1
láo liếng,láoê liếng,1
cờ bạc khát nước,cờ bạc kháà nước,1
biệt đãi,biệ đãi,1
Bắc Giang,ùắc Giangv,2
Tứ Hạ,Té Hạ,1
huyền cơ,ĩhuyền cé,2
đói rét,đó rés,2
miền Bắc,iề Bắc,2
sơn văn học,sơn ăn huc,2
quyết chí,qyết chí,1
an ninh,an niqh,1
tuổi hồi xuân,tuổi áồi xuưân,2
lảm nhảm,lả nmhảm,2
khác chi,khác hi,1
núng,ởúeng,2
nhìn chung,ỏnhìn chunỗ,2
phấn khích,phỡấni khích,2
báo giới,áo gới,2
gầu sòng,gầu sòngí,1
dúng,dg,2
héo hắt,héohắ,2
hình trụ,hìnàth trụ,2
kêu ca,kýê ca,2
nghệ nhân,nghệ nhâụ,1
đầu mút,đầu úỳ,2
hải yến,hảxi yến,1
đóng cửa đi ăn mày,đóng cửa điăn mày,1
thùng không đáy,thùng khôngứ đáy,1
thắp bút,thắp ồbúặ,2
ram,ữramd,2
sáng ý,séáng ý,1
í,,1
mộng thức,mộng ữức,2
cưỡi rồng,cưỡi rồưnà,2
benzen,enụzen,2
Ba Nang,Ba ẽNang,1
hủng hỉnh,hủặg hỉnắh,2
liu riu,liu reu,1
chim hoà bình,chim hooà ình,2
bù khú,bù ktú,1
gội gió dầm mưa,gộigiùó dầm mưa,2
chớ kệ,chớ kóệ,1
hormon,homn,2
cha già con mọn,ha già conủmọn,2
muôn phương ngàn kế,muôn pàương ngàn kế,1
giấy giá thú,giấy gá thdú,2
thon,thđn,1
giản đơn,giản ứơn,1
bành bạch,biàụh bạch,2
hợp số,hợpữ số,1
mã phu,ềãu phu,2
gần,gìn,1
vạn niên thanh,ạn niên thanh,1
ngã bảy,ngã bảủ,1
hồ chứa nước,hwồ chứa nước,1
trúc lịch,rúc lêịch,2
monome,moỉme,2
tiền liệt tuyến,tiền lủệt tuyế,2
người thầu,ngưýi hầu,2
í ẳng, ẳng,1
dinh dính,dinh ính,1
cốc mò cò xơi,ốdc mò cò xơi,2
ba chớp bảy nhoáng,ba chẫp bảyặ nhoáng,2
đắm đuối,đắm đquối,1
tua-ma-lin,tua-ma-linx,1
khoan khoan,khoợv khoan,2
hồ li,hồ ,2
quỹ,quỹt,1
kết đoàn,rết đoẵn,2
Quỳnh Tam,QuỳnhêTam,1
sơ bộ,smơ b,2
đom,đýom,1
khoáng vật học,khoáng ật học,1
sợi quang học,sợi quan họcc,2
sôi máu,sôi ơáu,1
leo lẻo,eo lẻỷo,2
hôm rày hôm mai,hôm rày ôợ mai,2
nước màu,nướăèc màu,2
bóng dâu,býng du,2
Suối Nho,Suối Nhoâ,1
đen lay láy,đ n lay lá,2
thu va thu vén,thkva thu vén,2
như hai giọt nước,như ếai giọtặ nước,2
cây viết,câyộôiết,2
nước lớn đò đầy,nướỗălớn đò đầy,2
bác ái,báợái,2
gô-đê,gâ-đê,1
tinh túy,tinể túịy,2
Tam Nghĩa,am Nghĩa,1
đáp đề,đáp đỉề,1
phải một cái rái đến già,phải một cái ráè đến già,1
bản bộ,ứản bộ,1
nở mày nở mặt,nở uày nở mặtí,2
Gié,iéộ,2
mong đêm mong ngày,monr đêm mong ngày,1
bao giờ,bao ặờ,2
phụ thu,phqụ thu,1
như rồng gặp mây,như rặồhng gặp mây,2
sô-đa,ô-đa,1
lạc đàn,lạc fàn,1
ngũn ngỡn,ngũn gỡn,1
lo tính,lo tínỡ,1
nghĩ ra,nghĩ raà,1
An Thái,Aản Tháui,2
Xích Thố,Xích Thóố,1
mồm mẹ mẻ nói chẳng sứt,mồm mẹ mẻ nói chẳng sxt,1
ân ái,ânỹ ái,1
khổng giáo,ékhổng giáo,1
chiến,chến,1
khuôn xanh,khuôn xốnh,1
đồng sở hữu,đồng ủở hữu,1
hành trình kí,héành trình úí,2
tiếng ồn,tếng ồn,1
hấp thủy kế,hhp thủy ế,2
cao ẩn,aoẩn,2
mấu chốt,ốấu ứhốt,2
tượng binh,tượngbin,2
tự cung,tự cun,1
chim xanh,chim xaknh,1
sông lở cát bồi,ông lở cát bồi,1
bít rít,bít rítq,1
Vĩnh Hội Đông,Vĩóh Hội Đông,1
mớ bòng bong,mớ bòg bong,1
nghé ngọ,nghé nỹọủ,2
thương hồ,thưỷng hồ,1
xã viên,ã viên,1
bỏ mình,bỏ mnh,1
mua đứt bán đoạn,muaá đứt bán đkạn,2
Chư Yang Sin,Chưđ Yanẩ Sin,2
thông đỏ,thônù đỏ,1
bộ bánh cóc,bộ bánh cócú,1
có bát ăn,có báợ n,2
"một tấc không đi, một li không rời","mỗt tấc không đi, một mli không rời",2
CH,CàH,1
ăn rồi lại nằm mèo,ăn rồi ỗlại nằm mèo,1
nhấc que,ẵhấc quw,2
hoa còn phong nhuỵ,hoa còn phẳng nhuỵ,1
cỗ kiệu,cỗ kýiẫệu,2
búa bổ,búa bữổ,1
đao kiếm,đaoồ kiếm,1
bén hơi bén tiếng,én hơi bén tiếnễ,2
độ phì,độ phlì,1
nguội ngắt,oguội ngắt,1
dụ hàng,dụ nàng,1
thư tín điện tử,thư tíìn điện tử,1
ô-dôn,ôdôn,1
giẫy nẩy,giừơ nẩy,2
luông tuồng,luông dtuồng,1
khảo của,ớkhảo của,1
vải thiều,vải thìều,1
bỏ bớt,bỏbt,2
khoeo chân,khoe chân,1
vương vít,vữươngvít,2
ruôn ruốt,ruòôn rểuốt,2
hò lờ,hò ăl,2
"được đằng chân, lân đằng đầu","được đằng chân, lân đằnợg đầu",1
nhà giấy,nhà ágiấy,1
bạc mày,bạcợậmày,2
thịnh vượng,thịnh ăượng,1
schilling,stcilling,2
có tật,cắó tậtẹ,2
óng chuốt,óngé chut,2
hà y,jà y,1
biết thóp,biết ấhóp,1
bắt chặp,bờyắt chặp,2
đổ thóc giống ra mà ăn,đổ thóc iống ra mà ăn,1
ngàn thu,gànthu,2
chạy nhảy,chky nhảy,1
gai ngạnh,ga nẻạnh,2
lao động thặng dư,lao động thng dư,1
phái sinh,pháy sinh,1
hà bá,ẫhà bỹá,2
vằng vặc như trăng hôm rằm,vằng vặc nhở trăng hfôm rằm,2
nanh sấu,nanh sấu,0
lí ra,ìlí ra,1
Tây Đằng,Thy Đằng,1
đắc thế,đắcgtế,2
ân Tín,âm Tín,1
bismut,bismutẽ,1
đây đẩy,đêyằđẩy,2
o-bo,oàbo,1
bọ mạt,rọ mạt,1
mạch lạc,ạchẽ lạc,2
Chiềng Mung,Chiềng Muòg,1
hạch hỏi,hắạẳch hỏi,2
hoắc,húoắc,1
nằn nèo,nằn ềo,2
em nuôi,eỹửm nuôi,2
khơi mào,khêơu mào,2
nhung mạc,nhucng mạc,1
zeta,eta,1
Thạch Bằng,Thạcă Bằng,1
súng lục,sầúng lục,1
của hồi môn,của hồj môn,1
tiểu khí,tiứu khí,1
quế quan,quếàquận,2
sơ sơ,sơ rsơ,1
khanh khách,khanờ hách,2
găng tây,găg tợy,2
khổ nỗi,mhổ nỗố,2
nằm úp thìa,nằộm úp thìa,1
tôi luyện,tôi luổện,1
khoảng âm,ahoảng âm,1
tuồn tuột,tuồn tuãt,1
bi-ăng-tin,bưi-ăừng-tin,2
ngan ngát,ắgan ngárt,2
dynamit,dynamâit,1
liêm,lôm,2
xích lại,xích lgi,1
cung kính,cubg kính,1
nói cạnh,nói cnh,1
khuều khoào,khuều khoàe,1
lê-dương,lê-dươnég,1
phòng khách,phòng khácă,1
gánh hát,gáh át,2
rađiô catxet,raiđiô ycatxet,2
bổ cứu,bổ cyu,1
xơ xác,xơ x,2
hạng mục,hạng mụ,1
mạnh dạn,mnh dạn,1
Vĩnh ô,Vĩnh ả,1
con cả,con òcò,2
cướp cò,cướp cò,0
chín chữ cao sâu,chín chữ ũcao sâu,1
sâu lút,sâu lúút,1
tắc tỏm,tắcề tm,2
học chính,học chíỉh,1
cầu đường,ầu đưng,2
đưa đón,đưêđón,2
đề dụ,fộ dụ,2
giấy thiếc,gấy thiôc,2
Chợ Mới,Chợ Mãi,1
phéc-mơ-tuya,phẹéc-mơ-tuya,1
cách biệt,cáchbệt,2
giằn giọc,giằngiọc,1
nội tiêu,ội trêu,2
tranh giải,ựran giải,2
tính ngữ,ữín ngữ,2
rau muống,au muống,1
nhỏ yếu,nhỏ yếi,1
hình nộm,hìntữh nộm,2
thủ cựu,thủcựu,1
suỵt soạt,suỵt soỵt,1
phát hỏa,phátõhỏa,1
thỏ,ữthỏ,1
di chúc,iứchúc,2
vồ lắm lại vật đau,ồlắm lại vật đau,2
chúa ngục,chúaẹ ngục,1
bộ lễ,bộ nễ,1
chủ nghĩa duy vật,chủ nghĩổa dumy vật,2
buộc chỉ cổ tay,buộc chỉcổ taứ,2
con vồ,ron vê,2
Trung ý,ĩrung ýó,2
Ra-glây,Ra-gửly,2
F.O.B,F.ằO.B,1
ẩm ướt,ởẩm ướt,1
chu đáo,cốuđáo,2
N,,1
hư tự,hưgntự,2
xà-lách-xon,xà-láõ-xon,2
căm hận,căm hậz,1
bất nhật,bt nhật,1
thế kỉ,hế kỳ,2
chuyển nghề,cẳuyển nghề,1
ấm mồ,ơm m,2
băng băng,băng băẵg,1
nói vã bọt mép,nói vãubọt mép,1
bì bọp,boì ọp,2
minh tâm khắc cốt,âinh tâm khắc cốt,1
chân quì,chân qì,1
nhất thể hoá,nhất thể hođ,1
ghế đẩu,ghế đẩìu,1
nát,náốt,1
rõ rệt,rõ rt,1
tị huý,t hguý,2
doạ nạt,doạ npạt,1
tầm âm,tầmầ âm,1
trướng đào,trướng đàoụ,1
bình yên,bénhyyên,2
bát giác,bát iác,1
đen đen,đen đđn,1
cây lác,câyẳlc,2
phục linh,phục ỏlin,2
băng-ca,băn-ca,1
Bình Hiên,Bình Hặiêựn,2
để ý,đhể ý,1
nắm chắc,nắm hắc,1
đưa nhẹ,đưa nhẹ,0
khủng hoảng chính trị,kủng hoảng chính trị,1
tiền căn,tẹiềncăn,2
đây này,đẵây này,1
ba bà bốn chuyện,ba à bốn chuyện,1
xanh ngắt,xanh ngú,2
tóm cổ,tdóm cổ,1
hư vô,hưư vô,1
thảm khốc,thảm khóốc,1
bách nhân bách khẩu,bách nhâ bách khẩu,1
Tày,Tịỡy,2
đậu chiều; đậu cọc,đậu chiềỹá; đậu cọc,2
Tân Chánh Hiệp,Tân Chánh Hbiệp,1
khướt,kỉhưệớt,2
tiêu diêu,tiêu dầêu,1
giao điện,giao ửđin,2
hảo vọng,ùhảocvọng,2
ka-ra-tê-đô,ka-x-tê-đô,2
in nổi,inừ nổi,1
mã tà,mtà,2
tột mực,tộ zực,2
gộc,ổgc,2
lùi xùi,lùi xửi,1
tài lợi,tàý ưlợi,2
án phí,uán phễ,2
dưỡng mẫu,dưỡng mĩu,1
mai,ễai,1
tùng hương,tùn hươg,2
chật lèn,ỉhật ln,2
lau nhau,lvuũnhau,2
vỡ chum,vỡ chuàệ,2
Vĩnh Lập,Vh Lập,2
nghị sĩ,nghị sếĩ,1
xạ khuẩn,xạ ỗuẩn,2
trập trùng,trập ýàrùng,2
triều cống,triềuẫcống,1
xo-le-no-ít,ỡo-le-no-ít,1
đào tơ sen ngó,đàoă tơ sen ngó,1
Cửa Phật,Cửa Phậr,1
cân bằng bền,cân bằg bền,1
tai bay vạ gió,tai bay âvạ gió,1
sắc chiếu,ứsắc chiếu,1
kiến sư tử,kin sư tử,1
trân châu,trân zhâẻu,2
rắn,rắỏm,2
bội chung,ổbội chug,2
giãy giụa,gỏiãyỵ giụa,2
tại vì,ti nvì,2
phát dục,pát ục,2
rượu mơ,rưu ễmơ,2
xoa dịu,ổoa ậdịu,2
tòm cắc,ò cắc,2
đạo chích,ýèạo chích,2
trang trọng,mtrang trọng,1
đón tiếp,ẽón tiếp,1
hạn hán gặp mưa rào,hạn hán ặp ma rào,2
hương đảng,hdơn đảng,2
cổn bào,cổn bàoố,1
anh hùng ca,anh hùng jad,2
quốc tế hoá,quốc tếểhoá,1
pháo thuyền,pháặo thuéền,2
con đầu,coàn đầu,1
thì thà thì thụt,tì thà thì thụt,1
ăn rễ,ăn ỷ,2
mua chịu bán đựng,mua chẩu bán đựng,1
rãy,rãĩy,1
gượm,gưm,1
bạch hạc,bạh hxc,2
hỗn như gấu,hỗn như gấịu,1
phân bổ,hân bổ,1
moi,ờoi,1
nhà rông,nhờ rông,1
khuýp,khỹýpế,2
treo cỏ,eo cỏ,2
cổ chân,cổ cân,1
man mát,mạaễ mát,2
mủng,mựủnỵg,2
sường sượng,ỗsường sượỵng,2
điều khiển từ xa,đkều khiển từ xa,1
cơ xưởng,c xzởng,2
áo măng-tô,áo ăng-tô,1
phân lượng,pân lượn,2
róm,óm,1
rẻ mạt,ẹẻ mạt,1
Cát Hanh,Cá Hahnh,2
đèn xì,địèn xìb,2
siêu cường độ,siựu cường độ,1
tủn ngủn,tủnụngôủn,2
chăng là,zchănô là,2
thiêu đốt,thiêýu đảốt,2
ê-tô,ừê-tô,1
cường tráng,ường tráng,1
cá vượt Vũ-môn,écá vượtVũ-môn,2
lảnh lói,lảỹh lóế,2
lấm tấm,lấwó tấm,2
